Target Word,Level,Type,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5
Elektrizität,A2,Noun,Strom,Energie,Licht,Kabel,Batterie
Innovativ,B2,Adj,Neu,Idee,Modern,Erfindung,Zukunft
Algorithmus,B2,Noun,Mathe,Computer,Code,Internet,Regel
Microsoft,A2,Proper,Windows,Bill Gates,PC,Software,Office
Satellit,B1,Noun,Weltraum,Erde,GPS,TV,Signal
Analysieren,B2,Verb,Daten,Prüfen,Wissenschaft,Denken,Ergebnis
Virtuell,B2,Adj,Echt,Realität,Computer,Digital,Brille
SpaceX,B1,Proper,Elon Musk,Rakete,Mars,Weltraum,Starlink
Batterie,A2,Noun,Strom,Energie,Handy,Leer,Laden
Surfen,B1,Verb,Internet,Web,Suchen,Seite,Klicken
Präzise,B2,Adj,Genau,Richtig,Punkt,Details,Exakt
Isaac Newton,B2,Proper,Physik,Apfel,Schwerkraft,Mathe,Wissenschaft
Roboter,A1,Noun,Maschine,Metall,KI,Zukunft,Arbeit
Untersuchen,B1,Verb,Prüfen,Arzt,Wissenschaft,Schauen,Testen
Digital,B1,Adj,Analog,Computer,Internet,Technik,Modern
Facebook,A1,Proper,Soziale Medien,Zuckerberg,Internet,App,Freunde
Messen,A2,Verb,Größe,Länge,Meter,Zentimeter,Lineal
Veraltet,B2,Adj,Alt,Neu,Kaputt,Früher,Technik
Instagram,A1,Proper,Fotos,App,Bilder,Posten,Story
Experiment,B1,Noun,Wissenschaft,Labor,Test,Versuch,Ergebnis
Entwickeln,B1,Verb,Machen,Neu,Software,Fortschritt,Planen
Komplex,B2,Adj,Schwierig,Einfach,Viel,Details,System
Tesla,A2,Proper,Auto,Elon Musk,Strom,Batterie,Fahren
Mikroskop,B1,Noun,Klein,Labor,Sehen,Wissenschaft,Linse
Kommunizieren,A2,Verb,Reden,Sprechen,Nachricht,Handy,Sagen
Langlebig,B2,Adj,Stark,Qualität,Zeit,Alt,Haltbar
CERN,B2,Proper,Physik,Schweiz,Wissenschaft,Teilchen,Forschung
Energie,B1,Noun,Strom,Kraft,Sonne,Batterie,Licht
Suchen,A1,Verb,Finden,Google,Internet,Verloren,Schauen
Automatisch,B1,Adj,Allein,Maschine,Schnell,Einfach,Programm
Bluetooth,A2,Proper,Handy,Kabellos,Verbinden,Musik,Lautsprecher
Klima,B1,Noun,Wetter,Erde,Warm,Natur,Luft
Reagieren,B1,Verb,Antwort,Aktion,Gefühl,Was,Machen
Vielseitig,B2,Adj,Viel,Können,Flexibel,Anders,Nützlich
Wikipedia,A1,Proper,Wissen,Internet,Lexikon,Information,Artikel
Labor,B1,Noun,Wissenschaft,Experiment,Weiß,Test,Forschen
Reisepass,A1,Noun,Pass,Grenze,Dokument,Reise,Land
Gepäck,A2,Noun,Koffer,Tasche,Reise,Urlaub,Flughafen
London,A1,Proper,England,UK,Themse,Big Ben,Stadt
Abflug,A2,Verb,Fliegen,Flughafen,Start,Zeit,Reise
Reiseziel,B1,Noun,Ort,Urlaub,Ankunft,Ende,Fahren
Ausland,B1,Adj,Land,Anders,Fremd,Sprache,Reisen
Eiffelturm,A1,Proper,Paris,Frankreich,Stahl,Hoch,Stadt
Strecke,B1,Noun,Weg,Reise,Kilometer,Fahren,Zug
Malerisch,B2,Adj,Schön,Foto,Dorf,Natur,Landschaft
Disney World,A1,Proper,Orlando,USA,Maus,Park,Spaß
Unterkunft,B1,Noun,Hotel,Schlafen,Zimmer,Haus,Urlaub
Navigieren,B2,Verb,Karte,GPS,Weg,Finden,Auto
Überfüllt,A2,Adj,Menschen,Viel,Stadt,Bus,Platz
Chinesische Mauer,A2,Proper,China,Lang,Stein,Asien,Grenze
Reservierung,A2,Noun,Buchen,Hotel,Tisch,Platz,Restaurant
Reiseplan,B2,Noun,Zeit,Liste,Urlaub,Wann,Aktivität
Exotisch,B2,Adj,Anders,Insel,Fern,Tropisch,Neu
Times Square,A2,Proper,New York,Licht,USA,Stadt,Reklame
Passagier,A2,Noun,Reisender,Zug,Flugzeug,Auto,Sitzen
Ankommen,A1,Verb,Ziel,Ende,Zeit,Da sein,Bahnhof
Luxuriös,B1,Adj,Teuer,Reich,Hotel,Schön,Geld
Machu Picchu,B1,Proper,Peru,Inka,Berg,Südamerika,Ruinen
Tourismus,A2,Noun,Urlaub,Reisen,Stadt,Besuchen,Gäste
Wandern,A2,Verb,Berge,Laufen,Wald,Natur,Schuhe
Idyllisch,B2,Adj,Schön,Ruhig,Dorf,Land,Natur
Alpen,A2,Proper,Berge,Ski,Schnee,Schweiz,Deutschland
Einwanderung,B1,Noun,Grenze,Land,Pass,Visum,Kommen
Rucksack,A1,Noun,Tasche,Schule,Wandern,Rücken,Tragen
Atemberaubend,B2,Adj,Schön,Blick,Wahnsinn,Aussicht,Natur
Las Vegas,A2,Proper,Casino,USA,Wüste,Spielen,Licht
Verkehrsmittel,B1,Noun,Bus,Zug,Auto,Fahren,Transport
Geräumig,B2,Adj,Groß,Platz,Zimmer,Viel,Haus
Sahara,A2,Proper,Wüste,Afrika,Sand,Heiß,Sonne
Währung,B1,Noun,Geld,Euro,Dollar,Land,Bezahlen
Riskieren,B2,Verb,Gefahr,Versuchen,Mut,Machen,Vielleicht
Antik,B1,Adj,Alt,Geschichte,Museum,Römer,Griechen
Mount Fuji,A2,Proper,Japan,Berg,Vulkan,Schnee,Asien
Botschaft,B2,Noun,Land,Diplomat,Visum,Pass,Ausland
Kreuzfahrt,A2,Noun,Schiff,Meer,Urlaub,Wasser,Reisen
Beschaulich,B2,Adj,Ruhig,Kleiner,Ort,Friedlich,Dorf
Expedition,B2,Noun,Reise,Forschen,Wissenschaft,Abenteuer,Gefahr
Pendeln,B1,Verb,Arbeit,Zug,Auto,Jeden Tag,Fahren
Lebhaft,B2,Adj,Stadt,Viel los,Energie,Menschen,Aktiv
Sydney Opera,A2,Proper,Australien,Gebäude,Musik,Hafen,Weiß
Visum,B1,Noun,Pass,Land,Grenze,Papier,Erlaubnis
